"title";"year";"duration";"genres";"rating";"votes";"DirectedBy";"Cast";"Writing";"ProducedBy";"MusicBy";"CinematographyBy";"production_countries";"language";"color";"keywords"
"Szybcy i wsciekli - Tokio drift";"2006";"104";"Action,Crime,Drama";"5.9";"146,779";"Justin Lin";"Lucas Black,Damien Marzette,Trula M. Marcus,Zachery Ty Bryan,Brandon Brendel,Daniel Booko,David V. Thomas,Amber Stevens,Ashika Gogna,Christian Salazar,Kevin Caira,Trey Sanford,Danny Ray McDonald II,Nikki Griffin,Vincent Laresca,Joey Crumpton,Lynda Boyd,Brian Goodman,Yôko Maki,Nathalie Kelley,Rie Shibata,Shad Moss,Toshi Hayama,Atley Siauw,Leonardo Nam,Kazuki Namioka,Hiroshi Hatayama,Jason Tobin,Keiko Kitagawa,Brian Tee,Sung Kang,Kaila Yu,Aiko Tanaka,Satoshi Tsumabuki,Alden Ray,Konishiki,Jimmy Lin,Caroline de Souza Correa,Silvia Suvadová,Keiichi Tsuchiya,Kazutoshi Wadakura,Verena Mei,Mari Jaramillo,Shôko Nakagawa,Mikiko Yano,Wendy Watanabe,Tina Tsunoda,Koji Kataoka,Shin'ichi Chiba,Tak Kubota,Stuart W. Yee,Mitsuki Koga,Hidesuke Motoki,NA,Toshio Ariki,Mitsuru Ôno,Chris Astoyan,April Betts,Ai Cherie,Willis Chung,Joshua Collins,Vin Diesel,Victoria Gracie,Jade Gzi,Alexis Hernandez,Jimmy Hsu,Harley Jay,Anant A.J. Jiemjitpolchai,Britten Kelley,Paul Leach,Sandra McCurdy,Rana Morrison,Tyler Nelson,Masami Okada,Jay Pangan,Erica Russell,Kevin Ryan,Tessa Sugay,Minn Vo";"Chris Morgan";"Ryan Kavanaugh,Amanda Lewis,Grace Morita,Neal H. Moritz,Lynwood Spinks,Clayton Townsend,Kazutoshi Wadakura,Chiaki Yamase";"Brian Tyler";"Stephen F. Windon";"USA,Germany";"English,Japanese";"Color";"drift racing,tokyo japan,car,challenge,drifting,illegal street racing,yakuza,mafia,speed,father son relationship,bathhouse,kissing,restaurant,subtitled scene,training,high school student,airport,police station,product placement,exploding car,held at gunpoint,pistol,opening action scene,handcuffs,arrest,cult film,cameo appearance,chase,showdown,fistfight,brawl,bloody nose,blood spatter,blood,punched in the face,punched in the nose,kiss,love triangle,love interest,boyfriend girlfriend relationship,violence,fight,fighting,tough guy,bald,teenage hero,teenager fighting adult,action hero,hero,lesbian kiss,car movie,phone video,pedestrian crossing,pay phone,parking garage,japanese high school,instant messaging,high school,bra removing,auto shop,uncle nephew relationship,street hustler,shibuya,plymouth road runner,naval officer,mountain road,little bo peep,gaijin,ford mustang,divorced family,cross cultural relationship,cowgirl,american expatriate,car crash,car accident,car chase,motor,third part,sequel,cult,car racing"
"Prestiz";"2006";"130";"Drama,Mystery,Thriller";"8.5";"698,458";"Christopher Nolan";"Hugh Jackman,Christian Bale,Michael Caine,Piper Perabo,Rebecca Hall,Scarlett Johansson,Samantha Mahurin,David Bowie,Andy Serkis,Daniel Davis,Jim Piddock,Christopher Neame,Mark Ryan,Roger Rees,Jamie Harris,Monty Stuart,Ron Perkins,Ricky Jay,J. Paul Moore,Anthony De Marco,Chao Li Chi,Gregory Humphreys,John B. Crye,William Morgan Sheppard,Sean Howse,Julia Sanford,Ezra Buzzington,James Lancaster,Olivia Merg,Zoe Merg,Johnny Liska,Russ Fega,Kevin Will,Edward Hibbert,Christopher Judges,James Otis,Sam Menning,Brian Tahash,Scott Davis,Jodi Bianca Wise,Nikki Glick,Enn Reitel,Clive Kennedy,Rob Arbogast,Chris Cleveland,NA,Basilina Butler,Erin Cipolletti,Ernest Heinz,Tim Pilleri,Wendy Rosoff,Gary Sievers,Inna Swann,Deanna Lynn Walsh,Jesse Wilde";"Jonathan Nolan,Christopher Nolan,Christopher Priest";"Christopher Ball,Valerie Dean,Jordan Goldberg,Christopher Nolan,Aaron Ryder,Charles J.D. Schlissel,Emma Thomas,William Tyrer";"David Julyan";"Wally Pfister";"USA,UK";"English";"Color";"magician,secret,rivalry,deceit,obsession,illusion,self duplication,19th century,double,jail cell,cockney accent,friend,diary,partner,magic trick,death,magic,twist at the end,protective husband,protective father,protective male,hairy chest,telling someone to shut up,two word title,revolver,human duplication,duplicating machine,duplication,duplicate,death by gunshot,death by drowning,artificial human,no opening credits,tied feet,theatrical agent,voice over diary,watch,rubber ball,underwater escape,hand injury,argument,door key,finger injury,restaurant,cafe,animal experimentation,cat,makeup,cage,ransacking,stagecoach,horse and carriage,horse,limping,hotel,journal,prestige,pledge,solicitor,attorney,lawyer,court,old man,chinese,gymnastic rings,playing cards,beer,kidnapping,headstone,tombstone,notebook,fake hanging,faked death,hangman's noose,shooting,lantern,royal albert hall london,girl,baby carriage,baby,workhouse,police,policeman,jail,fog,electrical generator,lightning,storm,rain,snow,cemetery,graveyard,montage,execution by hanging,execution,gallows,arm in a sling,candle,aunt nephew relationship,coffin,crypt,theatre audience,broken arm,dove,hand wound,canary,bird,boy,champagne,backstage,actor,invention,inventor,shackles,flashback within a flashback,pregnancy,locksmith,lock,dead body,infidelity,unfaithfulness,adultery,extramarital affair,flash forward,bullet,colorado,love,gun,year 1899,wizard,coin trick,bar,drunkenness,drink,drinking,illusionist,main character dies,parallel montage,water,water tank,voice over narration,two headed coin,trust,trap,trapdoor,train,top hat,theatre,sleight of hand,sabotage,morgue,mistress,man wearing a wig,transporting machine,light bulb,husband wife relationship,holding someone's head under water,held at gunpoint,hanged woman,handcuffs,funeral,friendship,framed for murder,flashback,fire,fingers shot off,father daughter relationship,falling through a staircase,falling through the floor,falling from height,fake moustache,fake accent,encryption,dying repeatedly,double barreled shotgun,disguise,devotion,deception,death of brother,dead bird,condemned to death,colorado springs,character says i love you,cane,brother brother relationship,broken finger,bouncing a ball,blood,black cat,betrayal,bare chested male,axe,killing an animal,steampunk,self inflicted injury,ambiguous ending,reference to thomas edison,doppelganger,secret twin,identity swapping,hidden identity,prison,duality,transportation,teleportation,electric fence,showmanship,sacrifice,revenge,death of wife,buried alive,finger cut off,tragedy,nonlinear timeline,twin,courtroom,1900s,1890s,electricity,twin brother,suicide,shot in the hand,shot in the chest,shot in the arm,severed finger,revelation,pistol,murder,loss of loved one,hanging,hanged man,corpse,broken leg,blind man,uncertainty principle,impostor,drowning,victorian era,catching a bullet,seance,london england,magician's assistant,based on novel,title spoken by character,surprise ending"
"Infiltracja";"2006";"151";"Crime,Drama,Thriller";"8.5";"730,093";"Martin Scorsese";"Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,Martin Sheen,Ray Winstone,Vera Farmiga,Anthony Anderson,Alec Baldwin,Kevin Corrigan,James Badge Dale,David O'Hara,Mark Rolston,Robert Wahlberg,Kristen Dalton,Thomas B. Duffy,J.C. MacKenzie,Mary Klug,Peg Holzemer,Robert 'Toshi' Kar Yuen Chan,Gurdeep Singh,Armen Garo,John Cenatiempo,Joseph Riccobene,Billy Smith,Lyman Chen,Kevin P. McCarthy,Chris Fischer,Brian Smyj,William Severs,Larry Mitchell,Anthony Estrella,Andrew Breving,Tracey Paleo,Douglas Crosby,Dorothy Lyman,Audrie Neenan,Frank Mallicoat,Paula DeMers,Conor Donovan,Amanda Lynch,Sallie Toussaint,Patrick Coppola,Mick O'Rourke,Deborah Carlson,Nellie Sciutto,Peter Welch,Henry Yuk,Dennis Lynch,Michael Byron,William Lee,John Rue,Peter Crafts,Joseph P. Reidy,John Farrer,Paris Karounos,Brian Haley,Terry Serpico,Jay Giannone,John Polce,Bo Cleary,David Conley,Victor Chan,Jill Brown,Sarah Fearon,Tom Kemp,Denece Ryland,Zachary Pauliks,Daniel F. Risteen Jr.,Francis P. Hughes,Johnny Cicco,Chance Kelly,Shay Duffin,John McConnell,Kenneth Stoddard,Jeffrey Winter,Paddy Curran,Mark Philip Patrick,David Fischer,Walter Y.F. Wong,Tony M. Yee,Francesca Scorsese,Alex Morris,Emma Tillinger Koskoff,Craig Castaldo,NA,Richard Hughes,James P. Anderson,Andrew Aninsman,Dion Baia,Takumi Bando,Vincent Bivona,Eric Bruno Borgman,David Boston,Tracey Brennan,Brendan Burke,Shana Carr,Chris Chinn,Vic Clay,Desiree April Connolly,Jeffrey Corazzini,Ed Cuffe,Buddy Dolan,Jim Evans,James Michael Farrell,Steve Flynn,Shawn Fogarty,Jim Ford,Lorre Fritchy,Trudi Goodman,Mackenzie Hawe,Mark Hemphill,London Kim,Henry Kwan,Henry Laun,Crystal Lisbon,Steve Lord,Frank Mancuso,Oliver Martin,Adam Masnyk,Jack McCullough,Paul McGillicuddy,Robert Myers,Joseph Oliveira,Nicolas Quilter,Osmani Rodriguez,Alfredo Romeo Suarez,Steve Scarfo,Billy Silvia,John Wayland Somers,Lawrence Cameron Steele,Stream,Conor Timmis,Donna Wong,Gail Yudain";"William Monahan,Alan Mak,Felix Chong";"Michael Aguilar,G. Mac Brown,Doug Davison,Brad Grey,Kristin Hahn,Graham King,Roy Lee,Gianni Nunnari,Brad Pitt,Joseph P. Reidy,Rick Schwartz,Emma Tillinger Koskoff,Dan Lin";"Howard Shore";"Michael Ballhaus";"USA,Hong Kong";"English,Cantonese";"Color";"boston,police,undercover,mole,undercover cop,mobster,irish mafia,irish american,organized crime,mafia,violence,mob violence,crime epic,irish gangster,state police,criminal,informer,double life,friend,danger,investigation,arrest,police officer,dildo,sex joke,watching porn,main character dies,main character shot,mexican standoff,broken hand,tough guy,pistol,critically acclaimed,bloody violence,gore,date,fistfight,gunfight,street shootout,police shootout,kiss,kissing while having sex,boyfriend girlfriend relationship,sex in bed,iris shot,text message,lingerie,scantily clad female,cleavage,black panties,panties,two word title,shot on location,ice cream parlor,pakistani american,romantic triangle,polish slur,chinese mob,impotence,reference to shakespeare's macbeth,killed in an elevator,falling in love with one's analyst,man with glasses,subway,realtor,kitchen,bag of money,crime scene,bridge,tunnel,car accident,car crash,translator,swimming pool,mentor,fbi agent,prison,drugs,knife in the chest,stabbed in the chest,accidental killing,battering ram,indian american,car set on fire,molotov cocktail,held at gunpoint,comic book,cigarette lighter,hospital,abandoned warehouse,surveillance,italian american,irish accent,scottish accent,interview,torture,double cross,pool table,dinner date,convenience store,product placement,diner,revolver,uzi,silencer,suffolk county massachusetts,microchip,singing,singer,dunking face into a bowl of ice,two way mirror,tv monitor,pride,ira,beating a hand with a shoe,baggage handler,gun dealer,slide show,abandoned building,thrown from a building,china,taiwan,chinese slur,nasa,spy,warrant,oxycontin,standoff,mobile phone,police staff sergeant,police sergeant,captain,drawing,alleyway,snitch,watching an opera,watching a movie,river,pills,police cadet,one million dollars,duffel bag,insurance money,puerto rican american,graffiti,state trooper,flash camera,menstruation,police badge,eating,food,baseball cap,assault and battery,beacon hill boston,deerfield massachusetts,restaurant,cafe,police raid,limousine,massachusetts state trooper,governor,train,rooftop,waterfront,chase,chinatown boston,warehouse,female nudity,nudity,reference to jesus christ,reference to bruce lee,prescription,drawing on a table cloth,social security number,sonogram,cd player,cd,pregnancy,boat,begging to be killed,microphone,ambulance,patriot act,homeland security,caller id,handcuffs,wind chime,airport,angel costume,burial,earphones,hand bandage,blowing smoke rings,lawyer,beeper,stabbed with an ice pick,ice pick,harvard university,reference to notre dame university,theatre box,explosion,flashback within a flashback,guilt,confession,heart attack,hit over the head with a bottle,christian,firefighter,housing project,robbery,kneed in the crotch,kicking,nun,wiretapping,head injury,flowers,coffin,cemetery,graveyard,detective,valium,chinese american,underwear,fbi,pursuit,magnifying glass,doubt,liar,lie,african american,policeman uniform,target practice,policeman,psychoanalysis,knife,gun,beating,self deception,deception,dying,reference to knights of columbus,documentary footage,reference to abraham lincoln,reference to john lennon,black american,money,flashback,execution,uncle nephew relationship,arson,fight,irish slur,vagina,rain,drunkenness,montage,reference to william shakespeare,reference to nathaniel hawthorne,reference to sigmund freud,prologue,reference to james joyce,bar,beach,cell phone,hitman,heroin,police funeral,screaming,van,punched in the face,domestic violence,cigarette smoking,friendship,love,high heels,opera,mercilessness,surveillance camera,wedding ring,bitterness,jealousy,humiliation,bloodbath,gas station,shot in the forehead,killer,witness,fire,crying,destruction,porno theater,strangulation,prostitute,funeral,bag,shot in the knee,ambush,opera house,shooting,mind game,thong,broken glass,shotgun,head butt,infertility,blood,swamp,apartment,counter espionage,criminal syndicate,remake,ethnic conflict,bedroom,extramarital affair,shot in the face,church,blonde,grave side ceremony,rampage,bouncer,irish mob,home,psychiatrist,blood stain,hideout,water,racial prejudice,photograph,fondling,photography,drinking,long take,interrogation,lost identity,scream,torn shirt,car,breaking down a door,cranberry juice,military secret,parallel montage,running,tattoo,police station,watching tv,garrote,severed hand,gloves,racial slur,gay slur,apartment building,whistling,sex scene,pain,infidelity,betrayal,golf club,self inflicted gunshot wound,school bus,flag draped coffin,computer,jail,elevator,father figure,broken arm,bra,leather jacket,telephone call,police training,killing,racism,old man,black humor,stabbing,brunette,slap,spanking,suicide thoughts,anger,elite team,mob hit,obscene finger gesture,job promotion,golf,cocaine,dock,dead woman,shower,rage,penitentiary,machine gun,news report,crime boss,unsubtitled foreign language,hands tied behind back,bloody nose,blood spatter,police internal affairs,remake of asian film,cult film,police surveillance,drug dealer,triad,espionage,wound,shot in the leg,police car,murder witness,multiple murder,gunshot wound,drug addict,disfigurement,dead man,criminal gang,corruption,corrupt cop,cop killer,cop against cop,city,chinese mafia,brutality,beaten to death,asian gangster,dead woman on a beach,remake of chinese film,no title at beginning,no opening credits,switchblade,death of protagonist,thug,brawl,dark humor,murder,blood on shirt,bleeding to death,street gang,police corruption,mob boss,drug trade,shot to death,shot in the head,shot in the chest,shootout,police officer killed,police academy,informant,falling from height,exploding car,drug deal,death,ethnic slur,ethnic hatred,gangster,boston massachusetts,death of mother,death of friend,title spoken by character,surprise ending,badge"
"300";"2006";"117";"Action,Fantasy,War";"7.8";"539,217";"Zack Snyder";"Gerard Butler,Lena Headey,Dominic West,David Wenham,Vincent Regan,Michael Fassbender,Tom Wisdom,Andrew Pleavin,Andrew Tiernan,Rodrigo Santoro,Giovani Cimmino,Stephen McHattie,Greg Kramer,Alex Ivanovici,Kelly Craig,Eli Snyder,Tyler Neitzel,Tim Connolly,Marie-Julie Rivest,Sebastian St. Germain,Peter Mensah,Arthur Holden,Michael Sinelnikoff,John Dunn-Hill,Dennis St John,Neil Napier,Dylan Smith,Maurizio Terrazzano,Robert Paradis,Kwasi Songui,Alexandra Beaton,Frédéric Smith,Loucas Minchillo,Nicholas Minchillo,Tom Rack,David Francis,James Bradford,Andrew Shaver,Robin Wilcock,Kent McQuaid,Marcel Jeannin,Jere Gillis,Jeremy Thibodeau,Tyrone Benskin,Robert Maillet,Patrick Sabongui,Leon Laderach,Dave Lapommeray,Vervi Mauricio,Charles Papasoff,Isabelle Champeau,Veronique-Natale Szalankiewicz,Maéva Nadon,David Thibodeau,David Schaap,Jean Michel Paré,Stewart Myiow,Andreanne Ross,Sara Giacalone,Ariadne Bourbonnière,Isabelle Fournel,Sandrine Merette-Attiow,Elisabeth Etienne,Danielle Hubbard,Ruan Vibegaard,Genevieve Guilbault,Bonnie Mak,Amélie Sorel,Caroline Aspirot,Gina Gagnon,Tania Trudell,Stéphanie Aubry,Mercedes Leggett,Stephania Gambaroff,Chanelle Lamothe,Sabrina-Jasmine Guilbault,Manny Cortez Tuazon,Cindy,Atif Y. Siddiqi,Camille Rizkallah,Trudi Hanley,Neon Cobran,Gary A. Hecker,NA,Devin Delorme,Deke Richards,Darren Shahlavi,Marc Trottier,Duy Vo Van,Agnieshka Wnorowska";"Zack Snyder,Kurt Johnstad,Michael Gordon,Frank Miller,Lynn Varley";"Steve Barnett,Mark Canton,Wesley Coller,William Fay,Craig J. Flores,Bernie Goldmann,Scott Mednick,Frank Miller,Gianni Nunnari,Josette Perrotta,Nathalie Peter-Contesse,Jeffrey Silver,Deborah Snyder,Silenn Thomas,Thomas Tull,Ben Waisbren";"Tyler Bates";"Larry Fong";"USA";"English";"Color";"spartan,persian immortals,ancient world,number in title,persian,army,king,battle,greece,warrior,soldier,battle of thermopylae,queen,canyon,epic,honor,first part,son killed,strong female character,choke point,bullet time,anal sex,antiquity,blood splatter,digit in title,topless female nudity,arrow,stabbed in the stomach,virtual set,woman on top,nipples visible through clothing,bare butt,bare breasts,hopelessly outnumbered,violence,politics,voice over narration,persian empire,mongolian,kick,infanticide,historical fiction,gold,fighter,blood,archer,adultery,cult film,slavery,monster,machismo,phalanx,famous line,beefcake,madness,death,unreliable narrator,hyperrealism,female nudity,spear through chest,stabbed in the mouth,wolf,treason,told in flashback,speech,rite of passage,rape,prologue,mask,marriage,loyalty,helmet,harem,giant,eye patch,blockbuster,beach,animal attack,ambassador,lesbian kiss,spit in the face,lobster man,siege,sex,loss of husband,hand to hand combat,grenade,father son relationship,face slap,evisceration,disembowelment,cliff,archery,rhinoceros,ogre,falling off a cliff,sword,sword and sandal,spear,shield,pit,oracle,massacre,male nudity,love slave,falling from height,elephant,dismemberment,battle axe,disfigured nipples,trampled to death,stabbed in the shoulder,stabbed in the head,stabbed in the eye,stabbed in the chest,stabbed in the back,stabbed in the arm,severed leg,severed head,severed arm,loss of son,impalement,hunchback,gore,gash in the face,deformity,decapitation,corpse,child in peril,betrayal,beaten to death,ancient greece,based on graphic novel,slow motion scene,abdominals,bare chested male,dark horse comics,closing credits sequence,personality cult,studio logo segues into film,arabic stereotype,arab stereotype,this being sparta,no opening credits,5th century b.c.,title spoken by character"
"Casino Royale";"2006";"144";"Action,Adventure,Thriller";"8.0";"394,759";"Martin Campbell";"Daniel Craig,Eva Green,Mads Mikkelsen,Judi Dench,Jeffrey Wright,Giancarlo Giannini,Caterina Murino,Simon Abkarian,Isaach De Bankolé,Jesper Christensen,Ivana Milicevic,Tobias Menzies,Claudio Santamaria,Sebastien Foucan,Malcolm Sinclair,Richard Sammel,Ludger Pistor,Joseph Millson,Darwin Shaw,Clemens Schick,Emmanuel Avena,Tom Chadbon,Ade,Urbano Barberini,Tsai Chin,Charlie Levi Leroy,Lazar Ristovski,Tom So,Veruschka von Lehndorff,Andreas Daniel,Carlos Leal,Christina Cole,Jürgen Tarrach,John Gold,Jerry Inzerillo,Diane Hartford,Jessica Miller,Leo Stransky,Paul Bhattacharjee,Crispin Bonham-Carter,Simon Cox,Rebecca Gethings,Peter Notley,John Chancer,Peter Brooke,Jason Durran,Robert Jezek,Robert G. Slade,Félicité Du Jeu,Michaela Ochotská,Michael Offei,Makhoudia Diaw,Michael G. Wilson,Martina Duravolá,Marcela Martincáková,Vladimír Kulhavý,Valentine Nonyela,Dusan Pelech,Phil Meheux,Alessandra Ambrosio,Veronika Hladikova,Regina Gabajová,Olutunji Ebun-Cole,Martin Ucík,Vlastina Svátková,Miroslav Simunek,Ivan G'Vera,Jirí Lenc,Jaroslav Jankovsky,NA,Lasco Atkins,Greg Bennett,Richard Branson,Pete Britten,Martin Campbell,Tara Cardinal,Ben Cooke,Jan Loukota,Raj Parmar,Nigel Pilkington,Simona Roman,Sol E. Romero,Valarie Trapp,Gunther von Hagens";"Neal Purvis,Robert Wade,Paul Haggis,Ian Fleming";"Barbara Broccoli,Guido Cerasuolo,Callum McDougall,David Minkowski,Andrew Noakes,Matthew Stillman,Anthony Waye,David G. Wilson,Michael G. Wilson,Charlie Woebcken";"David Arnold";"Phil Meheux";"UK,Czech Republic,USA,Germany,Bahamas";"English,French";" Black and White";"free running,terrorist,money,montenegro,casino,banker,terrorism,death,uganda,prisoner,blood,violence,torture,secret service,bahamas,assassination,secret agent,747 236b prop,two word title,heineken beer,hotel receptionist,damsel in distress,jungle,action hero,ak 47,flood,mongoose,black and white prologue,bare chested male bondage,2000s,darkroom,tied to a chair,dead girl,returning character with different actor,off screen murder,dead woman with eyes open,dead woman,woman drowned,horse,lifting male in air,martini,fatal attraction,femme fatale,infidelity,playing cards,adultery,beach resort,security camera,secret device,gambling,gunfight,crane,soldier,pistol,foot chase,village,army,beating,flashback,passport,hostage,body bag,poisoned,machete,corpse,helicopter,siren,police arrest,exhibit,double cross,police officer,sailing boat,poker the card game,horse and carriage,police car,fire sprinkler,video camera,miami florida,horse riding,nassau bahamas,laptop computer,newspaper headline,pinball machine,prague czech republic,slow motion scene,lifting an adult into the air,martial arts,shotgun,held at gunpoint,exploding bus,killed in an elevator,trapped in an elevator,cia agent,corporal punishment,tough guy,blood spatter,walther p99,taser,attempted poisoning,foot pursuit,lifting someone into the air,cult figure,money laundering,aston martin,murder by gunshot,blood on shirt,altered version of studio logo,neck breaking,car chase,suspense,shootout,psychopath,mass murder,tanker,sequel mentioned during end credits,bond girl,balisong,rogue agent,stairwell,stabbing,male nudity,lost love,london england,drugged drink,car accident,building collapse,blockbuster,train,lagoon,hammock,gadget car,double agent,animated credits,electrocution,crushed to death,strangulation,stabbed in the chest,shot in the forehead,shot in the foot,shot in the chest,shot in the back,poison,murder,machine gun,heart attack,exploding body,bomb,silencer,shower,shot in the leg,shot in the head,shot in the eye,eye patch,explosion,drowning,computer,chase,cell phone,bodyworks,hit in the crotch,snake,origin story,yacht,wager,venice italy,terrorist base,surveillance,spa,italy,gadget,fight,cocktail,british secret service,beach,assassin,villa,swimming,super villain,south africa,restaurant,motorboat,madagascar,hotel,hospital,henchman,gambling syndicate,embassy,construction site,arch villain,airport,airplane,africa,prequel to sequel,parkour,official james bond series,penumbra,sequel,espionage,based on novel,title spoken by character,plot twist,surprise ending,reboot of series,cult film,flipping car"
